customerID,SeniorCitizen,tenure_x,MonthlyCharges_x,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,True_Churn,Predicted_Churn_Probability,Contract,InternetService,PaymentMethod,tenure_y,MonthlyCharges_y
5804-HYIEZ,0,70,106.05,7554.05,True,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,0,0.22485517,Month-to-month,Fiber optic,Electronic check,70,106.05
2388-LAESQ,1,72,114.85,8317.95,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,0,0.0033065667,Two year,Fiber optic,Bank transfer (automatic),72,114.85
5533-RJFTJ,0,49,30.2,1453.1,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0,0.08482361,Month-to-month,DSL,Bank transfer (automatic),49,30.2
4706-AXVKM,1,11,84.8,906.85,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,1,0.80115616,Month-to-month,Fiber optic,Credit card (automatic),11,84.8
0997-YTLNY,0,19,48.8,953.65,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,0.13191137,Month-to-month,DSL,Mailed check,19,48.8
7971-HLVXI,0,72,84.5,6130.85,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,0,0.025366178,Two year,Fiber optic,Credit card (automatic),72,84.5
7337-CINUD,0,8,19.5,159.35,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,0,0.010515776,Two year,No,Bank transfer (automatic),8,19.5
1379-FRVEB,0,15,91.0,1430.05,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,0,0.77589005,Month-to-month,Fiber optic,Electronic check,15,91.0
4753-PADAS,0,67,105.7,6816.95,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,True,False,False,False,0,0.2616493,One year,Fiber optic,Bank transfer (automatic),67,105.7
5701-GUXDC,0,26,35.4,978.6,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,0,0.060964063,One year,DSL,Credit card (automatic),26,35.4
7235-NXZCP,1,2,74.85,156.4,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,0.88495433,Month-to-month,Fiber optic,Mailed check,2,74.85
0668-OGMHD,0,21,28.5,629.35,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0.26569682,Month-to-month,DSL,Electronic check,21,28.5
2812-REYAT,0,49,20.05,923.1,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0,0.02066808,One year,No,Bank transfer (automatic),49,20.05
8779-YIQQA,0,21,19.8,350.1,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,0,0.048399642,One year,No,Mailed check,21,19.8
9701-CDXHR,0,51,69.15,3649.6,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.24621297,Month-to-month,Fiber optic,Mailed check,51,69.15
7130-CTCUS,1,16,54.55,825.1,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0.20211588,Month-to-month,DSL,Bank transfer (automatic),16,54.55
1894-IGFSG,0,22,89.25,1907.85,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0.5036546,Month-to-month,Fiber optic,Electronic check,22,89.25
0871-URUWO,0,13,102.25,1359.0,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,1,0.709675,Month-to-month,Fiber optic,Credit card (automatic),13,102.25
0057-QBUQH,0,43,25.1,1070.15,False,False,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,0,0.14761327,Two year,No,Electronic check,43,25.1
9611-CTWIH,0,3,89.45,240.45,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,0.6544049,Month-to-month,Fiber optic,Electronic check,3,89.45
8058-DMYRU,1,54,90.05,4931.8,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,0,0.3394046,Month-to-month,Fiber optic,Electronic check,54,90.05
5351-QESIO,0,1,24.2,24.2,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.59883595,Month-to-month,DSL,Mailed check,1,24.2
4302-ZYFEL,0,69,20.55,1403.1,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0,0.0029060827,One year,No,Credit card (automatic),69,20.55
6134-KWTBV,0,62,23.4,1429.65,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,0,0.008404597,Two year,No,Bank transfer (automatic),62,23.4
2034-GDRCN,0,2,90.4,168.2,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,0.8606545,Month-to-month,Fiber optic,Electronic check,2,90.4
9544-PYPSJ,1,62,96.1,6019.35,False,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False,0,0.11064839,Month-to-month,Fiber optic,Credit card (automatic),62,96.1
4208-UFFGW,1,2,44.95,85.15,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0.34208658,Month-to-month,DSL,Mailed check,2,44.95
9537-JALFH,0,69,19.9,1356.7,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,0,0.0031944548,Two year,No,Bank transfer (automatic),69,19.9
4415-IJZTP,0,1,74.5,74.5,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.9308509,Month-to-month,Fiber optic,Electronic check,1,74.5
4701-MLJPN,0,31,55.25,1715.65,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,1,0.07449309,Month-to-month,DSL,Electronic check,31,55.25
7515-LODFU,1,69,20.3,1356.3,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,0,0.0022537122,Two year,No,Credit card (automatic),69,20.3
4927-WWOOZ,0,2,91.45,171.45,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,0,0.980105,Month-to-month,Fiber optic,Electronic check,2,91.45
4067-HLYQI,0,33,70.4,2406.1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0.38575733,Month-to-month,Fiber optic,Bank transfer (automatic),33,70.4
6184-DYUOB,0,3,19.6,55.25,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,0,0.1904421,Month-to-month,No,Mailed check,3,19.6
9209-NWPGU,0,44,65.4,2774.55,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,0,0.057676177,One year,DSL,Electronic check,44,65.4
9851-KIELU,0,10,110.1,1043.3,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,1,0.7547678,Month-to-month,Fiber optic,Electronic check,10,110.1
3199-XGZCY,0,8,75.25,576.7,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0.8007307,Month-to-month,Fiber optic,Electronic check,8,75.25
4226-KKDON,0,8,66.65,520.95,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,0,0.23237744,Month-to-month,DSL,Electronic check,8,66.65
1085-LDWAM,0,69,20.35,1442.65,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0,0.002856439,One year,No,Credit card (automatic),69,20.35
6825-UYPFK,0,23,75.6,1758.6,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0.16781951,Month-to-month,Fiber optic,Bank transfer (automatic),23,75.6
1767-CJKBA,0,66,25.1,1697.7,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,0,0.0027715743,Two year,No,Mailed check,66,25.1
7181-BQYBV,0,1,102.45,102.45,False,True,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1,0.9937821,Month-to-month,Fiber optic,Electronic check,1,102.45
0178-CIIKR,0,3,19.95,58.0,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,0,0.18069273,Month-to-month,No,Mailed check,3,19.95
4256-ZWTZI,0,5,51.0,286.8,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,0,0.45643243,Month-to-month,DSL,Mailed check,5,51.0
9537-VHDTA,0,1,51.2,51.2,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.51075053,Month-to-month,DSL,Mailed check,1,51.2
2754-XBHTB,0,9,77.65,714.15,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,1,0.7348803,Month-to-month,Fiber optic,Bank transfer (automatic),9,77.65
5975-BAICR,0,36,63.7,2188.5,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,False,0,0.08303061,One year,DSL,Credit card (automatic),36,63.7
3301-VKTGC,0,68,85.5,5696.6,True,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,0,0.123293154,One year,Fiber optic,Bank transfer (automatic),68,85.5
2877-VDUER,0,35,40.9,1383.6,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,0,0.022902347,One year,DSL,Mailed check,35,40.9
7717-BICXI,0,60,20.55,1205.05,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,0,0.019868063,Two year,No,Mailed check,60,20.55
0562-FGDCR,0,72,74.55,5430.65,False,True,True,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,0,0.0042322907,Two year,DSL,Mailed check,72,74.55
3705-PSNGL,0,45,20.4,930.45,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,1,0.021934772,One year,No,Electronic check,45,20.4
0048-LUMLS,0,37,91.2,3247.55,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,0,0.34275568,One year,Fiber optic,Credit card (automatic),37,91.2
6497-TILVL,0,7,50.7,350.35,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.22494482,Month-to-month,DSL,Mailed check,7,50.7
2108-YKQTY,0,4,50.7,151.3,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0.24978171,Month-to-month,DSL,Credit card (automatic),4,50.7
3658-KIBGF,0,1,54.9,54.9,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.7820172,Month-to-month,DSL,Electronic check,1,54.9
5482-NUPNA,0,4,60.4,272.15,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,1,0.2383877,Month-to-month,DSL,Mailed check,4,60.4
7410-KTVFV,0,18,49.55,878.35,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,1,0.19990996,Month-to-month,DSL,Mailed check,18,49.55
9033-EOXWV,0,12,74.05,872.65,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,True,1,0.15035097,One year,DSL,Mailed check,12,74.05
8821-XNHVZ,0,1,80.05,80.05,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,1,0.89383537,Month-to-month,Fiber optic,Mailed check,1,80.05
8224-KDLKN,0,72,25.0,1738.9,True,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,0,0.0022086652,Two year,No,Bank transfer (automatic),72,25.0
4825-FUREZ,0,42,20.25,835.5,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,0,0.0065562567,Two year,No,Electronic check,42,20.25
7534-BFESC,1,24,76.1,1712.7,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.47541645,Month-to-month,Fiber optic,Electronic check,24,76.1
9138-EFSMO,0,26,78.95,2034.25,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,0,0.12770773,One year,Fiber optic,Bank transfer (automatic),26,78.95
4227-OJHAL,0,68,73.0,5163.0,False,True,True,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,True,False,False,0,0.062797315,One year,DSL,Credit card (automatic),68,73.0
7279-NMVJC,0,17,19.9,323.15,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,0,0.025451709,One year,No,Bank transfer (automatic),17,19.9
8591-TKMZH,0,59,111.1,6555.2,True,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,True,0,0.03290895,Two year,Fiber optic,Mailed check,59,111.1
9283-LZQOH,0,13,74.4,896.75,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,1,0.5262453,Month-to-month,Fiber optic,Credit card (automatic),13,74.4
3594-IVHJZ,0,2,20.45,42.45,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,0,0.10806102,Month-to-month,No,Mailed check,2,20.45
1945-XISKS,0,67,19.65,1335.2,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,0,0.009347894,Two year,No,Mailed check,67,19.65
4359-INNWN,0,17,20.05,337.9,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,0,0.008897993,One year,No,Credit card (automatic),17,20.05
7649-SIJJF,0,71,80.1,5585.4,True,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,0,0.0024498343,Two year,DSL,Mailed check,71,80.1
9254-RBFON,0,17,98.6,1704.95,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False,False,1,0.13259038,One year,Fiber optic,Bank transfer (automatic),17,98.6
0970-ETWGE,0,1,89.55,89.55,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,0.91812664,Month-to-month,Fiber optic,Electronic check,1,89.55
7762-ONLJY,0,6,19.7,94.45,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,0,0.05021731,One year,No,Mailed check,6,19.7
6710-HSJRD,0,61,114.1,7132.15,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,0,0.41482562,Month-to-month,Fiber optic,Electronic check,61,114.1
8873-GLDMH,0,6,73.85,401.3,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0.76779354,Month-to-month,Fiber optic,Mailed check,6,73.85
9907-SWKKF,1,1,25.05,25.05,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0.6908572,Month-to-month,DSL,Mailed check,1,25.05
4658-HCOHW,0,21,102.8,2110.15,False,True,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,1,0.5779,Month-to-month,Fiber optic,Electronic check,21,102.8
9330-VOFSZ,0,60,110.8,6640.7,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,0,0.15139008,Two year,Fiber optic,Credit card (automatic),60,110.8
2860-RANUS,1,20,85.8,1727.5,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,1,0.4656843,Month-to-month,Fiber optic,Credit card (automatic),20,85.8
6234-PFPXL,0,22,95.9,2234.95,True,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,0,0.4881299,Month-to-month,Fiber optic,Credit card (automatic),22,95.9
7205-BAIAD,0,40,20.6,827.3,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,0,0.003951558,Two year,No,Bank transfer (automatic),40,20.6
3858-VOBET,0,23,74.95,1710.45,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.59197366,Month-to-month,Fiber optic,Electronic check,23,74.95
5103-MHMHY,0,1,45.95,45.95,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0.60237247,Month-to-month,DSL,Mailed check,1,45.95
6119-SPUDB,0,46,38.25,1755.35,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,0,0.007036573,Two year,DSL,Mailed check,46,38.25
9389-ACWBI,0,5,69.95,320.4,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0.50648695,Month-to-month,Fiber optic,Credit card (automatic),5,69.95
3454-JFUBC,1,68,20.0,1396.0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,False,False,0,0.0014951413,Two year,No,Credit card (automatic),68,20.0
1768-ZAIFU,1,1,25.2,25.2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.8973352,Month-to-month,DSL,Electronic check,1,25.2
7017-VFULY,0,2,20.1,43.15,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,0,0.23906173,Month-to-month,No,Bank transfer (automatic),2,20.1
9221-OTIVJ,1,14,104.85,1531.4,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1,0.56135076,Month-to-month,Fiber optic,Electronic check,14,104.85
2482-CZGBB,0,10,70.0,740.0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.6493277,Month-to-month,Fiber optic,Electronic check,10,70.0
7018-WBJNK,0,13,78.3,1033.95,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,0,0.7174093,Month-to-month,Fiber optic,Credit card (automatic),13,78.3
3331-HQDTW,0,34,109.8,3587.25,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,1,0.08563713,Month-to-month,Fiber optic,Mailed check,34,109.8
4695-VADHF,0,18,57.45,990.85,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0.17672756,Month-to-month,DSL,Electronic check,18,57.45
4086-WITJG,0,71,19.7,1301.1,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,0,0.0017848866,Two year,No,Credit card (automatic),71,19.7
6297-NOOPG,0,70,110.5,7752.05,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,0,0.40034965,Two year,Fiber optic,Electronic check,70,110.5
8777-PVYGU,0,52,64.3,3410.6,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,0,0.025218701,One year,DSL,Mailed check,52,64.3
4378-MYPGO,0,68,105.25,7173.15,True,True,True,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,False,0,0.0706919,Two year,Fiber optic,Bank transfer (automatic),68,105.25
9313-CDOGY,0,38,19.6,717.3,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,0,0.16661067,Month-to-month,No,Electronic check,38,19.6
4121-AGSIN,0,58,24.5,1497.9,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0,0.013435421,One year,No,Credit card (automatic),58,24.5
0432-CAJZV,0,3,90.7,237.65,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,0,0.61361283,Month-to-month,Fiber optic,Mailed check,3,90.7
9097-ZUBYC,0,14,48.8,664.4,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0.2620453,Month-to-month,DSL,Bank transfer (automatic),14,48.8
9638-JIQYA,0,2,24.9,49.7,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,0.7608287,Month-to-month,DSL,Credit card (automatic),2,24.9
1024-GUALD,0,1,24.8,24.8,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.75648415,Month-to-month,DSL,Electronic check,1,24.8
8024-XNAFQ,1,72,107.4,7748.75,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False,0,0.004011581,Two year,Fiber optic,Bank transfer (automatic),72,107.4
7587-RZNME,0,3,43.3,123.65,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.6353969,Month-to-month,DSL,Electronic check,3,43.3
1346-UFHAX,0,13,80.0,1029.35,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,0.313672,Month-to-month,Fiber optic,Credit card (automatic),13,80.0
6374-NTQLP,1,72,104.1,7447.7,True,True,True,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,False,0,0.013496536,Two year,Fiber optic,Credit card (automatic),72,104.1
6625-FLENO,0,58,20.75,1185.95,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,0,0.027600104,Two year,No,Mailed check,58,20.75
7375-WMVMT,1,71,95.5,6707.15,True,True,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,True,True,False,False,0,0.004650018,Two year,Fiber optic,Credit card (automatic),71,95.5
6910-HADCM,0,1,76.35,76.35,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1,0.8765603,Month-to-month,Fiber optic,Electronic check,1,76.35
7401-JIXNM,0,54,91.3,4965.0,False,True,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0,0.021969903,Two year,DSL,Credit card (automatic),54,91.3
7338-ERIVA,0,39,45.05,1790.6,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,0,0.012884945,One year,DSL,Bank transfer (automatic),39,45.05
5376-DEQCP,0,1,70.6,70.6,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0.9039615,Month-to-month,Fiber optic,Electronic check,1,70.6
